飞利浦MC1炭棒项目|三级|60*30*170|25-339-1|余氯/铅/PFOA/PFOS/微塑料|谢琴|陈秀丽|2025.10.10|2025年11月|10月23已送样|||
伊可普重力式炭棒滤芯|三级|57*30*212（普通款）|25-343-1|低流速、不易堵、除余氯|张莉|陈秀丽|2025.11.24|2026年2月|第一次送样配方客户反馈流速衰减过快，重新调整测试中，客户原因暂停|||
伊可普重力式炭棒滤芯|三级|57*30*212（碱性款）|25-343-2|低流速、不易堵、口感好、碱性功能|张莉|冯敏|2025.11.24|2025年12月|项目暂停|||
伊可普碱性炭棒项目\n（1006-8016）|三级|57*30*175|25-346-1|碱性、口感|张莉|冯敏|2025.12.1|2025年12月|项目暂停|||
安吉尔W3项目|三级|前置：40.5*22*59\n后置：21*6.5*135|26-301-1|除VOC、抑菌杀菌|谢琴|叶运婷/杨茂林|2026.1.13|2026年2月|已送样，待客户反馈|||
苏泊尔龙头滤芯|三级|32*12*60|26-302-1|余氯/抗堵|孙淼淼|秦文静|2026.1.15|2026年6月|内部已完成测试，第一次送样余氯不合格，第二次送样已完成|||
天津远致冰箱滤芯|三级|PFOA/PFOS：30*10*115.3|26-303-1|PFOA/PFOS|李梓维|秦文静|2026.2.27|2026年6月|内部已完成测试|||
天津远致冰箱滤芯|三级|碱性汞：30*10*115.3|26-303-2|碱性汞|李梓维|秦文静|2026.2.27|2026年6月|内部已完成测试|||
天津远致冰箱滤芯|三级|碱性铅：57*18*258|26-303-3|碱性铅|李梓维|秦文静|2026.2.27|2026年6月|内部已完成测试|||
佛山傲美老板电器碱性项目|三级|57*30*77.3mm|26-304-1|碱性|李梓维|涂小娟|2026.3.10|2026年6月|测试中|||
箭牌马桶碳纤维滤芯|三级|28*8*50|26-305-1|余氯、抗堵|孙淼淼|涂小娟/杨茂林|2026.3.12|2026年6月|已完成测试，送样给客户待反馈|||
箭牌龙头富锶碳纤维滤芯|三级|60*20*100|26-306-1|富锶、余氯、抗堵|孙淼淼|涂小娟/杨茂林|2026.3.12|2026年6月|已完成测试，送样给客户待反馈|||
澳兰斯台式超滤机除VOC项目|三级|前置（普通）：40.5*21*119\n后置：45*16*76|26-307-1|除VOC|李梓维|秦文静|2026.3.20|2026年6月|内部已完成测试|||
澳兰斯台式超滤机除VOC项目|三级|前置（阻垢）：40.5*21*119\n后置：45*16*76|26-308-2|除VOC/阻垢|李梓维|秦文静|2026.3.20|2026年6月|内部已完成测试|||
广州澳兰斯碱性滤芯|三级|30*12*174|26-309-1|PH寿命，口感|李梓维|涂小娟|2026.4.3|2026年6月|内部完成测试，计划送样给客户验证|||
碧丽RO后置碱性炭棒|三级|50*25*250|26-310-1|碱性|李梓维|涂小娟|2026.4.7|2026年6月|客户测试合格|已完成测试|已达成|是|
伊可普1018后置无压炭棒项目|三级|45*21*256.5mm(包布，两边各留5-8mm)|26-311-1|低压降、去余氯|张莉|陈秀丽|2026.4.13|2026年6月|已送样，待客户反馈|||
沁园北斗双子芯项目|三级|64*36*100（外包无纺布+炭棒+内置无纺布）|26-312-1|去除COD、VOC、重金属、抑菌|孙淼淼|杨茂林/秦文静|2026.4.20|2026年6月|测试中|||
澳兰斯台式超滤机项目|三级|折纸49*38*119mm，碳棒38*20*119mm；后置碳棒：45*16*76mm|26-313-1|三氯甲烷是否会让304不锈钢材质制冷模块生锈|李梓维|叶运婷|2026.4.27|2026年8月|测试中|||
傲美后置优矿项目\n（飞利浦项目）|三级|30*10*90|26-314-1|钙、镁、锌、钠、偏硅酸|李梓维|涂小娟|2026.5.4|2026年8月|测试中|||
傲美后置矿化项目\n（飞利浦项目）|三级|30*10*90|26-314-2|钾、钠、钙、镁|李梓维|涂小娟|2026.5.4|2026年8月|测试中|||
天津远致除铅汞炭棒项目|三级|30*10*115.3|26-315-1|除铅、汞|李梓维|秦文静|2026.5.30||||
松下花洒阻垢项目|三级|阻垢棒：16*5*30|26-315-2|浴室瓷砖、水龙头等不结垢|孙淼淼|沈家仪|2026.6.1||||
GE制冰机阻垢项目|三级|SSC阻垢球2.5-3.5mm|26-315-3|阻垢|孙淼淼|沈家仪|2026.6.1||||
自主研发（喷头冲洗器）|三级|炭棒：18*6.5*60（外包无纺布）|26-315-4|余氯、抗堵|孙淼淼|杨茂林|2026.6.1||||
飞利浦花洒碳纤维|三级|普通款碳纤维尺寸：22.5*8*60\n阻垢款碳纤维尺寸：22.5*8*100|26-315-5|余氯、抑菌、阻垢、抗堵|谢琴|杨茂林|2026.6.9||||
飞利浦龙头芯项目|三级|38*10*70|26-315-6|除铅、余氯、抗堵|谢琴|秦文静|2026.6.21||||
美的清湖冰箱炭棒|三级|30*10*116.5|26-315-7|NSF42/53/401认证炭棒（流量测试）|李梓维|陈秀丽|2026.6.25||||
